# Wlen(nm) Transmission Continuum
1.921845733622551961e+03 5.477902250551975882e-01 8.277359156229606015e+03
1.921852259631802099e+03 5.576022475072297535e-01 8.281579208340806872e+03
1.921858911950821721e+03 5.665584060596560168e-01 8.285871334691233642e+03
1.921865506403387599e+03 5.747802835673266886e-01 8.290116564852347437e+03
1.921872089676797032e+03 5.823626774095486125e-01 8.294345113659819617e+03
1.921878752746682267e+03 5.893794195593625718e-01 8.298615277321989197e+03
1.921885266800182990e+03 5.958918827127522855e-01 8.302780575404218325e+03
1.921891998661453954e+03 6.019490770248207001e-01 8.307075427783422128e+03
1.921898499020780037e+03 6.075941967434045354e-01 8.311213218903963934e+03
1.921905188446271268e+03 6.128596333127264151e-01 8.315461762519944386e+03
1.921911744328166378e+03 6.177740074431044004e-01 8.319616055253301965e+03
1.921918364111829987e+03 6.223557627157039196e-01 8.323801373197788052e+03
1.921924989206469490e+03 6.266185717434458180e-01 8.327980533693862526e+03
1.921931539173727288e+03 6.305778830935240276e-01 8.332102955081705659e+03
1.921938233655448357e+03 6.342666386952799940e-01 8.336306736209640803e+03
1.921944733406397290e+03 6.377552235471753983e-01 8.340378965798081481e+03
1.921951457899742991e+03 6.411482044130315527e-01 8.344582397881929865e+03
1.921957977246849396e+03 6.445365499605075765e-01 8.348648279997983991e+03
1.921964631501234408e+03 6.479192527919226396e-01 8.352788851874913234e+03
1.921971220657423828e+03 6.511999457944871450e-01 8.356879522269115114e+03
1.921977804497995294e+03 6.542552362347319184e-01 8.360957565291042556e+03
1.921984463637871613e+03 6.569945870346260985e-01 8.365072774547059453e+03
1.921990976889717786e+03 6.593677195615798015e-01 8.369088620248730876e+03
1.921997706187974927e+03 6.613570563237932687e-01 8.373228118773948154e+03
1.922004205150042026e+03 6.629710593517547101e-01 8.377216719602816738e+03
1.922010891832470406e+03 6.642265556564345141e-01 8.381311096895913579e+03
1.922017447090142014e+03 6.651372861890898491e-01 8.385315723034789698e+03
1.922024062760438710e+03 6.656427541403612258e-01 8.389347952484216876e+03
1.922030688599322957e+03 6.655830002606145657e-01 8.393377022258942816e+03
1.922037233082308603e+03 6.649187841344353922e-01 8.397347437558164529e+03
1.922043929677360893e+03 6.641193655911004079e-01 8.401400699169311338e+03
1.922050428028323040e+03 6.642031363894781437e-01 8.405324852754851236e+03
1.922057145092971723e+03 6.660086739705041170e-01 8.409371652857436857e+03
1.922063668495210095e+03 6.693478068377343160e-01 8.413292614156336640e+03
1.922070313948491275e+03 6.731426462663521182e-01 8.417277660508156259e+03
1.922076908530380933e+03 6.763087892006739432e-01 8.421222956979667288e+03
1.922083482196848308e+03 6.782655059017689281e-01 8.425146585369489912e+03
1.922090148133607499e+03 6.789218793953771813e-01 8.429115963072377781e+03
1.922096649837714494e+03 6.785909765714022157e-01 8.432978509404872966e+03
1.922103387304645821e+03 6.779846640116593548e-01 8.436971714259232613e+03
1.922109884863200477e+03 6.780596084227669129e-01 8.440813671971232907e+03
1.922116558049580817e+03 6.794534217244142527e-01 8.444750230604291573e+03
1.922123123421622495e+03 6.819806165410309262e-01 8.448614054521318394e+03
1.922129724220754952e+03 6.848515053574313338e-01 8.452489604166077697e+03
1.922136361547291699e+03 6.873039310738434660e-01 8.456377385766101725e+03
1.922142889783387545e+03 6.889308712867869833e-01 8.460192264354447616e+03
1.922149599239983900e+03 6.896142722396758629e-01 8.464103747497701988e+03
1.922156096184700800e+03 6.893200873594168554e-01 8.467882370999437626e+03
1.922162795051126068e+03 6.879440167758723579e-01 8.471769201399496524e+03
1.922169333263612089e+03 6.852705149322033673e-01 8.475553788859975612e+03
1.922175959141456360e+03 6.809803811773668114e-01 8.479380031825303377e+03
1.922182569908982487e+03 6.746063542809704883e-01 8.483188440698873819e+03
1.922189122622173272e+03 6.654372281814023848e-01 8.486954436099435043e+03
1.922195806120567113e+03 6.524013569004215585e-01 8.490786408251489775e+03
1.922202302450256411e+03 6.339205874134711260e-01 8.494502183903765399e+03
1.922209024940537574e+03 6.079394774660819012e-01 8.498338108898149585e+03
1.922215538046924394e+03 5.723303125427428029e-01 8.502045632143952389e+03
1.922222186946359216e+03 5.262861348462704036e-01 8.505821403592221031e+03
1.922228773209241808e+03 4.727314056921738117e-01 8.509552599479218770e+03
1.922235348341499275e+03 4.207163706667876313e-01 8.513268559140076832e+03
1.922242007936976961e+03 3.850460951867895054e-01 8.517023167607843789e+03
1.922248509125644432e+03 3.791938659910384368e-01 8.520679657306338413e+03
1.922255242229896794e+03 4.051395958745210302e-01 8.524457418214604331e+03
1.922261737762101802e+03 4.521363154567981102e-01 8.528093054662767827e+03
1.922268407622852465e+03 5.057202916064182929e-01 8.531817252075115903e+03
1.922274971438619104e+03 5.558342241776292880e-01 8.535473331866749504e+03
1.922281566928746997e+03 5.980547023515322413e-01 8.539138165319964173e+03
1.922288204679756518e+03 6.315281437770221551e-01 8.542817494788045224e+03
1.922294725622580017e+03 6.570687801276566820e-01 8.546423307906439732e+03
1.922301437485274846e+03 6.762122094713197695e-01 8.550125625063019470e+03
1.922307932399709443e+03 6.905664070269895705e-01 8.553699524872532493e+03
1.922314621158337786e+03 7.014549766168658440e-01 8.557371107254044546e+03
1.922321164587668818e+03 7.098746841986536271e-01 8.560954105775792414e+03
1.922327778371306977e+03 7.165041664148340539e-01 8.564566783851327273e+03
1.922334396339448631e+03 7.217999044039097312e-01 8.568172857163730441e+03
1.922340934971148499e+03 7.260699700504348320e-01 8.571726976293099142e+03
1.922347627654808321e+03 7.295179480006661610e-01 8.575355860626790673e+03
1.922354121950275612e+03 7.322628270174260656e-01 8.578868509356787399e+03
1.922360827540188211e+03 7.343432937909082359e-01 8.582486496450526829e+03
1.922367352646931522e+03 7.357152463623467531e-01 8.585998387259209267e+03
1.922373982656562248e+03 7.362416324685012725e-01 8.589557941296588979e+03
1.922380582906595919e+03 7.357545536167818812e-01 8.593092720250830098e+03
1.922387137158725409e+03 7.342071488800718804e-01 8.596594188260154624e+03
1.922393812729041429e+03 7.319507395806911232e-01 8.600151589884191708e+03
1.922400306404345656e+03 7.299329250448471917e-01 8.603603472850207254e+03
1.922407026755773586e+03 7.290876020826916326e-01 8.607166944333832362e+03
1.922413535606935739e+03 7.291483144159847107e-01 8.610609640503056653e+03
1.922420179771871517e+03 7.284965770647221506e-01 8.614115161552728750e+03
1.922426764371732361e+03 7.252071095434514669e-01 8.617580547698722512e+03
1.922433332172694008e+03 7.179623219226707320e-01 8.621028466950530856e+03
1.922439992698509514e+03 7.066152013322063441e-01 8.624516275944974041e+03
1.922446485752451736e+03 6.930774406403527044e-01 8.627907878215875826e+03
1.922453218792466259e+03 6.822782056637519688e-01 8.631415972916416649e+03
1.922459713458212946e+03 6.802025491989791561e-01 8.634791327829054353e+03
1.922466369704602812e+03 6.886342830361246170e-01 8.638241965861181598e+03
1.922472940725384433e+03 7.033509441468898116e-01 8.641639801284896748e+03
1.922479520000396406e+03 7.185115240004151804e-01 8.645033332822156808e+03
1.922486167553727910e+03 7.307709728946680805e-01 8.648453380038872638e+03
1.922492669679528262e+03 7.394473181857683652e-01 8.651790155223579859e+03
1.922499393943006908e+03 7.453103472378049821e-01 8.655232145534315350e+03
1.922505886191283025e+03 7.495263677942091141e-01 8.658546909680891986e+03
1.922512552442108017e+03 7.529279137801254684e-01 8.661941872786472231e+03
1.922519111958068379e+03 7.558432524988893952e-01 8.665273940907649376e+03
1.922525700629182666e+03 7.583324018007812084e-01 8.668612303667434389e+03
1.922532337285214908e+03 7.604339971347733318e-01 8.671966361521417639e+03
